Age,Workclass,Education,Marital-status,Race,Gender,Occupation
39,State-gov,Bachelors,Never-married,White,Male,Adm-clerical
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
38,Private,HS-grad,Divorced,White,Male,Handlers-cleaners
53,Private,11th,Married-civ-spouse,Black,Male,Handlers-cleaners
28,Private,Bachelors,Married-civ-spouse,Black,Female,Prof-specialty
37,Private,Masters,Married-civ-spouse,White,Female,Exec-managerial
49,Private,9th,Married-spouse-absent,Black,Female,Other-service
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,White,Male,Exec-managerial
31,Private,Masters,Never-married,White,Female,Prof-specialty
42,Private,Bachelors,Married-civ-spouse,White,Male,Exec-managerial
37,Private,Some-college,Married-civ-spouse,Black,Male,Exec-managerial
30,State-gov,Bachelors,Married-civ-spouse,Asian-Pac-Islander,Male,Prof-specialty
23,Private,Bachelors,Never-married,White,Female,Adm-clerical
32,Private,Assoc-acdm,Never-married,Black,Male,Sales
40,Private,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,Male,Craft-repair
34,Private,7th-8th,Married-civ-spouse,Amer-Indian-Eskimo,Male,Transport-moving
25,Self-emp-not-inc,HS-grad,Never-married,White,Male,Farming-fishing
32,Private,HS-grad,Never-married,White,Male,Machine-op-inspct
38,Private,11th,Married-civ-spouse,White,Male,Sales
43,Self-emp-not-inc,Masters,Divorced,White,Female,Exec-managerial
40,Private,Doctorate,Married-civ-spouse,White,Male,Prof-specialty
54,Private,HS-grad,Separated,Black,Female,Other-service
35,Federal-gov,9th,Married-civ-spouse,Black,Male,Farming-fishing
43,Private,11th,Married-civ-spouse,White,Male,Transport-moving
59,Private,HS-grad,Divorced,White,Female,Tech-support
56,Local-gov,Bachelors,Married-civ-spouse,White,Male,Tech-support
19,Private,HS-grad,Never-married,White,Male,Craft-repair
54,?,Some-college,Married-civ-spouse,Asian-Pac-Islander,Male,?
39,Private,HS-grad,Divorced,White,Male,Exec-managerial
49,Private,HS-grad,Married-civ-spouse,White,Male,Craft-repair
23,Local-gov,Assoc-acdm,Never-married,White,Male,Protective-serv
20,Private,Some-college,Never-married,Black,Male,Sales
45,Private,Bachelors,Divorced,White,Male,Exec-managerial
30,Federal-gov,Some-college,Married-civ-spouse,White,Male,Adm-clerical
22,State-gov,Some-college,Married-civ-spouse,Black,Male,Other-service
48,Private,11th,Never-married,White,Male,Machine-op-inspct
21,Private,Some-college,Never-married,White,Male,Machine-op-inspct
31,Private,Some-college,Married-civ-spouse,White,Male,Sales
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,White,Male,Prof-specialty
31,Private,9th,Married-civ-spouse,White,Male,Machine-op-inspct
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,White,Male,Prof-specialty
24,Private,Bachelors,Married-civ-spouse,White,Male,Tech-support
49,Private,HS-grad,Separated,White,Female,Adm-clerical
25,Private,HS-grad,Never-married,White,Male,Handlers-cleaners
57,Federal-gov,Bachelors,Married-civ-spouse,Black,Male,Prof-specialty
53,Private,HS-grad,Married-civ-spouse,White,Male,Machine-op-inspct
44,Private,Masters,Divorced,White,Female,Exec-managerial
41,State-gov,Assoc-voc,Married-civ-spouse,White,Male,Craft-repair
29,Private,Assoc-voc,Never-married,White,Male,Prof-specialty
25,Private,Some-college,Married-civ-spouse,Other,Female,Exec-managerial
18,Private,HS-grad,Never-married,White,Female,Other-service
47,Private,Prof-school,Married-civ-spouse,White,Female,Prof-specialty
50,Federal-gov,Bachelors,Divorced,White,Male,Exec-managerial
47,Self-emp-inc,HS-grad,Divorced,White,Male,Exec-managerial
43,Private,Some-college,Married-civ-spouse,White,Male,Tech-support
46,Private,5th-6th,Married-civ-spouse,White,Male,Machine-op-inspct
35,Private,Assoc-voc,Married-civ-spouse,White,Male,Other-service
41,Private,HS-grad,Married-civ-spouse,White,Male,Adm-clerical
30,Private,HS-grad,Married-civ-spouse,White,Male,Machine-op-inspct
30,Private,Bachelors,Married-civ-spouse,White,Male,Sales
32,?,7th-8th,Married-spouse-absent,White,Male,?
48,Private,HS-grad,Married-civ-spouse,White,Male,Transport-moving
42,Private,Doctorate,Married-civ-spouse,White,Male,Prof-specialty
29,Private,Some-college,Divorced,White,Male,Tech-support
36,Private,HS-grad,Married-civ-spouse,White,Male,Craft-repair
28,Private,Some-college,Divorced,White,Female,Adm-clerical
53,Private,HS-grad,Married-civ-spouse,White,Female,Adm-clerical
49,Self-emp-inc,Some-college,Married-civ-spouse,White,Male,Exec-managerial
25,?,Some-college,Never-married,White,Male,?
19,Private,Some-college,Never-married,White,Male,Prof-specialty
31,Private,Bachelors,Separated,Black,Female,Sales
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,White,Male,Sales
23,Private,Some-college,Never-married,White,Male,Machine-op-inspct
79,Private,Some-college,Married-civ-spouse,White,Male,Prof-specialty
27,Private,HS-grad,Never-married,White,Male,Other-service
40,Private,Assoc-acdm,Married-civ-spouse,White,Male,Adm-clerical
67,?,10th,Married-civ-spouse,White,Male,?
18,Private,11th,Never-married,White,Female,Other-service
31,Local-gov,7th-8th,Married-civ-spouse,White,Male,Farming-fishing
18,Private,HS-grad,Never-married,White,Male,Sales
52,Private,Bachelors,Married-civ-spouse,White,Male,Other-service
46,Private,HS-grad,Married-civ-spouse,White,Female,Other-service
59,Private,HS-grad,Married-civ-spouse,White,Male,Sales
